Name,Categories,"Content pages new",Contributions,Created,Edits,Email,Extension,Homepage,Institution,"Logo file","MediaWiki API URL","Modification date",Person,Platform,Users,"Users active"
BioFoundation.Net,,0,0,2008-02-05,0,j@bio.cc,"User Merge and Delete,Add Javascripts,Add Tab Menu,ConfirmEdit,Draw FckEditor,Google API,AddThis API,Make HTML Tags enable,Administrator Page,Recent Changes User,Related Links Management,Sidebar Management,Sysop IP Manage Setup,Auto Authentication For Sysop,Upload Logo,User Page Setup",http://biofoundation.net,BioFoundation,20080831-2F03DB5E23.png,http://biofoundation.net/api.php,"21 March 2011 19:23:39","Jong Hua Bhak",MediaWiki,12,0
BioPedia,,2,"30,006",2005-01-25,5,,"Add Javascripts,Draw FckEditor,Make HTML Tags enable,Add Tab Menu,Administrator Page,Sidebar Management,Upload Logo,User Page Setup,Google API,AddThis API,Related Links Management,Recent Changes User,ConfirmEdit,Purge,Gadgets,AntiBot,AssertEdit,SimpleAntiSpam,SpamBlacklist,CategoryTree,Collection,Cross-namespace links,ExpandTemplates,Nuke",http://biopedia.org,"Personal Genomics Institute (PGI)",20101103-FED634FBB7.png,http://biopedia.org/api.php,"28 March 2011 17:49:51","Bhak JH",BioWiki,"1,622",3
"BioPerl Wiki",,3,"14,090",2005-10-28,32,support@helpdesk.open-bio.org,"PDF,Embedded Widgets,TreeAndMenu,Winter (Wiki INTERpreter),ConfirmEdit,Google Analytics Integration,SpamBlacklist,OpenID",http://www.bioperl.org,OBF,,http://www.bioperl.org/w/api.php,"28 March 2011 17:49:59","Open Bioinformatics Foundation",MediaWiki,"1,665",10
Biocompany.net,,0,783,2005-07-25,3,jongbhak@yahoo.com,,http://Biocompany.net,BioFoundation,Biocompany.png,http://biocompany.net/api.php,"28 March 2011 20:15:42","Bhak JH",BioWiki,86,2
"Bioinformatics.Org Wiki",,16,"7,379",2008-04-21,72,info@bioinformatics.org,"Semantic Drilldown,Semantic Forms,Semantic Internal Objects,Semantic Maps,Semantic MediaWiki,Semantic Result Formats,Admin Links,Ask SQL,CategoryTree,Data Transfer,Replace Text,SpecialInterwiki,User Merge and Delete,ArrayExtension,Cite,EmbedVideo,External Data,Header Tabs,Maps,ParserFunctions,SyntaxHighlight,Widgets,ConfirmEdit,Validator",http://www.bifx.org/wiki/,"Bioinformatics Organization",BifxSiteLogo.png,http://www.bioinformatics.org/w/api.php,"28 March 2011 17:50:05","Bizzaro JW,Bolser D,Suravajhala P",MediaWiki,"1,184",12
Bioinformatist.org,,0,399,2007-08-25,0,vimalkumar_v@bioinformatics.org,,http://bioinformatist.org/index.php/Main_Page,,bioinformatist-logo.png,,"4 February 2011 02:52:48","Vimalkumar Velayudhan",MediaWiki,82,0
Biomatics.Org,,1,"9,037",2005-10-27,7,,"Add Javascripts,Draw FckEditor,Make HTML Tags enable,Add Tab Menu,Administrator Page,Sysop IP Manage Setup,Auto Authentication For Sysop,Sidebar Management,Upload Logo,User Page Setup,Google API,AddThis API,Related Links Management,Recent Changes User,ConfirmEdit,Purge,CategoryTree,RefHelper,Collection,Cross-namespace links,ExpandTemplates,Nuke",http://biomatics.org,BioFoundation,20101104-C5A4C832AB.png,http://biomatics.org/api.php,"28 March 2011 17:50:08","Bhak JH",BioWiki,164,4
Biopeople.org,,3,"1,763",2008-02-05,1,jongbhak@yahoo.com,"Add Javascripts,Add Tab Menu,ConfirmEdit,Draw FckEditor,Google API,AddThis API,Make HTML Tags enable,Administrator Page,Recent Changes User,Related Links Management,Sidebar Management,Sysop IP Manage Setup,Auto Authentication For Sysop,Upload Logo,User Page Setup",http://Biopeople.org,BioFoundation,"Default logo.png",http://biopeople.org/api.php,"21 March 2011 19:24:22","Bhak JH",BioWiki,1,3
Biosophy.org,,5,871,2008-02-05,18,jongbhak@yahoo.com,"Add Javascripts,Add Tab Menu,ConfirmEdit,Draw FckEditor,Google API,AddThis API,Make HTML Tags enable,Administrator Page,Recent Changes User,Related Links Management,Sidebar Management,Sysop IP Manage Setup,Auto Authentication For Sysop,Upload Logo,User Page Setup",http://biosophy.org,BioFoundation,20100724-C4235C852C.gif,http://biosophy.org/api.php,"21 March 2011 19:24:27","Bhak JH,Smithe L",BioWiki,56,1
Biowiki.net,,0,30,2008-02-05,0,jongbhak@yahoo.com,"Add Javascripts,Add Tab Menu,ConfirmEdit,Draw FckEditor,Google API,AddThis API,Make HTML Tags enable,Administrator Page,Recent Changes User,Related Links Management,Sidebar Management,Sysop IP Manage Setup,Auto Authentication For Sysop,Upload Logo,User Page Setup",http://Biowiki.net,BioFoundation,"Default logo.png",http://biowiki.net/api.php,"21 March 2011 19:24:31","Bhak JH",BioWiki,3,0
